alerter-1  | 2026-04-14 12:39:18,987 INFO alerter: ip=192.168.56.20 status=UNKNOWN (cpu_percent is null) snap=2026-04-14T12:38:19+00:00
alerter-1  | 2026-04-14 12:39:18,988 INFO alerter: ip=192.168.56.21 status=UNKNOWN (cpu_percent is null) snap=2026-04-14T12:38:19+00:00
alerter-1  | 2026-04-14 12:39:59,246 INFO alerter: ip=192.168.56.20 email sent (ALERT) cpu=7 snap=2026-04-14T12:39:49+00:00
alerter-1  | 2026-04-14 12:39:59,257 INFO alerter: ip=192.168.56.21 email sent (ALERT) cpu=2 snap=2026-04-14T12:39:49+00:00
alerter-1  | 2026-04-14 12:40:39,310 INFO alerter: ip=192.168.56.20 email sent (REMINDER) cpu=7 snap=2026-04-14T12:40:19+00:00
alerter-1  | 2026-04-14 12:40:39,333 INFO alerter: ip=192.168.56.21 email sent (REMINDER) cpu=2 snap=2026-04-14T12:40:19+00:00
alerter-1  | 2026-04-14 12:41:19,391 INFO alerter: ip=192.168.56.20 email sent (REMINDER) cpu=8 snap=2026-04-14T12:41:19+00:00
alerter-1  | 2026-04-14 12:41:19,412 INFO alerter: ip=192.168.56.21 email sent (REMINDER) cpu=3 snap=2026-04-14T12:41:19+00:00
alerter-1  | 2026-04-14 12:41:59,477 INFO alerter: ip=192.168.56.20 email sent (REMINDER) cpu=5 snap=2026-04-14T12:41:49+00:00
alerter-1  | 2026-04-14 12:41:59,519 INFO alerter: ip=192.168.56.21 email sent (REMINDER) cpu=2 snap=2026-04-14T12:41:49+00:00
alerter-1  | 2026-04-14 12:42:39,594 INFO alerter: ip=192.168.56.20 email sent (REMINDER) cpu=3 snap=2026-04-14T12:42:19+00:00
alerter-1  | 2026-04-14 12:42:39,623 INFO alerter: ip=192.168.56.21 email sent (REMINDER) cpu=2 snap=2026-04-14T12:42:19+00:00
alerter-1  | 2026-04-14 12:43:19,679 INFO alerter: ip=192.168.56.20 email sent (REMINDER) cpu=1 snap=2026-04-14T12:43:19+00:00
alerter-1  | 2026-04-14 12:43:19,699 INFO alerter: ip=192.168.56.21 email sent (REMINDER) cpu=2 snap=2026-04-14T12:43:19+00:00
alerter-1  | 2026-04-14 12:43:59,758 INFO alerter: ip=192.168.56.20 email sent (REMINDER) cpu=1 snap=2026-04-14T12:43:49+00:00
alerter-1  | 2026-04-14 12:43:59,780 INFO alerter: ip=192.168.56.21 email sent (REMINDER) cpu=1 snap=2026-04-14T12:43:49+00:00
alerter-1  | 2026-04-14 12:44:39,829 INFO alerter: ip=192.168.56.20 email sent (REMINDER) cpu=1 snap=2026-04-14T12:44:19+00:00
alerter-1  | 2026-04-14 12:44:39,855 INFO alerter: ip=192.168.56.21 email sent (REMINDER) cpu=1 snap=2026-04-14T12:44:19+00:00
alerter-1  | 2026-04-14 12:45:19,908 INFO alerter: ip=192.168.56.20 email sent (RECOVERY) cpu=0 snap=2026-04-14T12:45:19+00:00
alerter-1  | 2026-04-14 12:45:19,921 INFO alerter: ip=192.168.56.21 email sent (RECOVERY) cpu=0 snap=2026-04-14T12:45:19+00:00
