poller-1  | [poller] devices=2 interval=30s limit=50
poller-1  | [poller] csv=/app/shared/cpu.csv
poller-1  | [poller] latest_dir=/app/shared/latest
poller-1  | [poller] 2026-04-14T12:39:18+00:00 ip=192.168.56.20 cpu=7
poller-1  | [poller] 2026-04-14T12:39:18+00:00 ip=192.168.56.21 cpu=3
poller-1  | [poller] 2026-04-14T12:39:49+00:00 ip=192.168.56.20 cpu=7
poller-1  | [poller] 2026-04-14T12:39:49+00:00 ip=192.168.56.21 cpu=2
poller-1  | [poller] 2026-04-14T12:40:19+00:00 ip=192.168.56.20 cpu=7
poller-1  | [poller] 2026-04-14T12:40:19+00:00 ip=192.168.56.21 cpu=2
poller-1  | [poller] 2026-04-14T12:40:49+00:00 ip=192.168.56.20 cpu=6
poller-1  | [poller] 2026-04-14T12:40:49+00:00 ip=192.168.56.21 cpu=2
poller-1  | [poller] 2026-04-14T12:41:19+00:00 ip=192.168.56.20 cpu=8
poller-1  | [poller] 2026-04-14T12:41:19+00:00 ip=192.168.56.21 cpu=3
poller-1  | [poller] 2026-04-14T12:41:49+00:00 ip=192.168.56.20 cpu=5
poller-1  | [poller] 2026-04-14T12:41:49+00:00 ip=192.168.56.21 cpu=2
poller-1  | [poller] 2026-04-14T12:42:19+00:00 ip=192.168.56.20 cpu=3
poller-1  | [poller] 2026-04-14T12:42:19+00:00 ip=192.168.56.21 cpu=2
poller-1  | [poller] 2026-04-14T12:42:49+00:00 ip=192.168.56.20 cpu=2
poller-1  | [poller] 2026-04-14T12:42:49+00:00 ip=192.168.56.21 cpu=3
poller-1  | [poller] 2026-04-14T12:43:19+00:00 ip=192.168.56.20 cpu=1
poller-1  | [poller] 2026-04-14T12:43:19+00:00 ip=192.168.56.21 cpu=2
poller-1  | [poller] 2026-04-14T12:43:49+00:00 ip=192.168.56.20 cpu=1
poller-1  | [poller] 2026-04-14T12:43:49+00:00 ip=192.168.56.21 cpu=1
poller-1  | [poller] 2026-04-14T12:44:19+00:00 ip=192.168.56.20 cpu=1
poller-1  | [poller] 2026-04-14T12:44:19+00:00 ip=192.168.56.21 cpu=1
poller-1  | [poller] 2026-04-14T12:44:49+00:00 ip=192.168.56.20 cpu=0
poller-1  | [poller] 2026-04-14T12:44:49+00:00 ip=192.168.56.21 cpu=0
poller-1  | [poller] 2026-04-14T12:45:19+00:00 ip=192.168.56.20 cpu=0
poller-1  | [poller] 2026-04-14T12:45:19+00:00 ip=192.168.56.21 cpu=0
poller-1  | [poller] 2026-04-14T12:45:49+00:00 ip=192.168.56.20 cpu=0
poller-1  | [poller] 2026-04-14T12:45:49+00:00 ip=192.168.56.21 cpu=0
poller-1  | [poller] 2026-04-14T12:46:19+00:00 ip=192.168.56.20 cpu=0
poller-1  | [poller] 2026-04-14T12:46:19+00:00 ip=192.168.56.21 cpu=0
poller-1  | [poller] 2026-04-14T12:46:49+00:00 ip=192.168.56.20 cpu=0
poller-1  | [poller] 2026-04-14T12:46:49+00:00 ip=192.168.56.21 cpu=0
poller-1  | [poller] 2026-04-14T12:47:19+00:00 ip=192.168.56.20 cpu=0
poller-1  | [poller] 2026-04-14T12:47:19+00:00 ip=192.168.56.21 cpu=0
poller-1  | [poller] 2026-04-14T12:47:49+00:00 ip=192.168.56.20 cpu=0
poller-1  | [poller] 2026-04-14T12:47:49+00:00 ip=192.168.56.21 cpu=0
poller-1  | [poller] 2026-04-14T12:48:19+00:00 ip=192.168.56.20 cpu=0
poller-1  | [poller] 2026-04-14T12:48:19+00:00 ip=192.168.56.21 cpu=0
