timestamp_utc,ip,cpu_percent
2026-02-05T15:13:35+00:00,192.168.56.20,
2026-02-05T15:13:35+00:00,192.168.56.21,
2026-02-05T15:14:09+00:00,192.168.56.20,
2026-02-05T15:14:09+00:00,192.168.56.21,
2026-02-05T15:14:43+00:00,192.168.56.20,
2026-02-05T15:14:43+00:00,192.168.56.21,
2026-02-05T15:15:18+00:00,192.168.56.20,
2026-02-05T15:15:18+00:00,192.168.56.21,
2026-02-05T15:15:52+00:00,192.168.56.20,
2026-02-05T15:15:52+00:00,192.168.56.21,
2026-02-05T15:16:27+00:00,192.168.56.20,
2026-02-05T15:16:27+00:00,192.168.56.21,
2026-02-05T15:17:01+00:00,192.168.56.20,
2026-02-05T15:17:01+00:00,192.168.56.21,
2026-02-05T15:17:35+00:00,192.168.56.20,
2026-02-05T15:17:35+00:00,192.168.56.21,
2026-02-05T15:18:10+00:00,192.168.56.20,
2026-02-05T15:18:10+00:00,192.168.56.21,
2026-02-05T15:18:45+00:00,192.168.56.20,
2026-02-05T15:18:45+00:00,192.168.56.21,
2026-02-05T15:19:20+00:00,192.168.56.20,
2026-02-05T15:19:20+00:00,192.168.56.21,
2026-02-05T15:19:55+00:00,192.168.56.20,
2026-02-05T15:19:55+00:00,192.168.56.21,
2026-02-05T15:20:30+00:00,192.168.56.20,
2026-02-05T15:20:30+00:00,192.168.56.21,
2026-02-05T15:21:05+00:00,192.168.56.20,
2026-02-05T15:21:05+00:00,192.168.56.21,
2026-02-05T15:21:39+00:00,192.168.56.20,
2026-02-05T15:21:39+00:00,192.168.56.21,
2026-02-05T15:22:13+00:00,192.168.56.20,
2026-02-05T15:22:13+00:00,192.168.56.21,
2026-02-05T15:22:48+00:00,192.168.56.20,
2026-02-05T15:22:48+00:00,192.168.56.21,
2026-02-05T15:23:22+00:00,192.168.56.20,
2026-02-05T15:23:22+00:00,192.168.56.21,
2026-02-05T15:23:56+00:00,192.168.56.20,
2026-02-05T15:23:56+00:00,192.168.56.21,
2026-02-05T15:24:31+00:00,192.168.56.20,
2026-02-05T15:24:31+00:00,192.168.56.21,
2026-02-05T15:25:05+00:00,192.168.56.20,
2026-02-05T15:25:05+00:00,192.168.56.21,
2026-02-05T15:25:40+00:00,192.168.56.20,
2026-02-05T15:25:40+00:00,192.168.56.21,
2026-02-05T15:26:14+00:00,192.168.56.20,
2026-02-05T15:26:14+00:00,192.168.56.21,
2026-02-05T15:26:49+00:00,192.168.56.20,
2026-02-05T15:26:49+00:00,192.168.56.21,
2026-02-05T15:27:24+00:00,192.168.56.20,
2026-02-05T15:27:24+00:00,192.168.56.21,
2026-02-05T15:27:59+00:00,192.168.56.20,
2026-02-05T15:27:59+00:00,192.168.56.21,
2026-02-05T15:28:33+00:00,192.168.56.20,
2026-02-05T15:28:33+00:00,192.168.56.21,
2026-02-05T15:29:07+00:00,192.168.56.20,
2026-02-05T15:29:07+00:00,192.168.56.21,
2026-02-05T15:29:42+00:00,192.168.56.20,
2026-02-05T15:29:42+00:00,192.168.56.21,
2026-02-05T15:30:17+00:00,192.168.56.20,
2026-02-05T15:30:17+00:00,192.168.56.21,
2026-02-05T15:30:52+00:00,192.168.56.20,
2026-02-05T15:30:52+00:00,192.168.56.21,
2026-02-05T15:31:26+00:00,192.168.56.20,
2026-02-05T15:31:26+00:00,192.168.56.21,
2026-02-05T15:32:00+00:00,192.168.56.20,
2026-02-05T15:32:00+00:00,192.168.56.21,
2026-02-05T15:32:35+00:00,192.168.56.20,
2026-02-05T15:32:35+00:00,192.168.56.21,
2026-02-05T15:33:11+00:00,192.168.56.20,
2026-02-05T15:33:11+00:00,192.168.56.21,
2026-02-05T15:33:45+00:00,192.168.56.20,
2026-02-05T15:33:45+00:00,192.168.56.21,
2026-02-05T15:34:19+00:00,192.168.56.20,
2026-02-05T15:34:19+00:00,192.168.56.21,
2026-02-05T15:34:55+00:00,192.168.56.20,
2026-02-05T15:34:55+00:00,192.168.56.21,
2026-02-05T15:35:30+00:00,192.168.56.20,
2026-02-05T15:35:30+00:00,192.168.56.21,
2026-02-05T15:36:04+00:00,192.168.56.20,
2026-02-05T15:36:04+00:00,192.168.56.21,
2026-02-05T15:36:39+00:00,192.168.56.20,
2026-02-05T15:36:39+00:00,192.168.56.21,
2026-02-05T15:37:13+00:00,192.168.56.20,
2026-02-05T15:37:13+00:00,192.168.56.21,
2026-02-05T15:37:48+00:00,192.168.56.20,
2026-02-05T15:37:48+00:00,192.168.56.21,
2026-02-05T15:38:22+00:00,192.168.56.20,
2026-02-05T15:38:22+00:00,192.168.56.21,
2026-02-05T15:38:57+00:00,192.168.56.20,
2026-02-05T15:38:57+00:00,192.168.56.21,
2026-02-05T15:39:31+00:00,192.168.56.20,
2026-02-05T15:39:31+00:00,192.168.56.21,
2026-02-05T15:40:06+00:00,192.168.56.20,
2026-02-05T15:40:06+00:00,192.168.56.21,
2026-02-05T15:40:41+00:00,192.168.56.20,
2026-02-05T15:40:41+00:00,192.168.56.21,
2026-02-05T15:41:15+00:00,192.168.56.20,
2026-02-05T15:41:15+00:00,192.168.56.21,
2026-02-05T15:41:50+00:00,192.168.56.20,
2026-02-05T15:41:50+00:00,192.168.56.21,
2026-02-05T15:42:24+00:00,192.168.56.20,
2026-02-05T15:42:24+00:00,192.168.56.21,
2026-02-05T15:42:59+00:00,192.168.56.20,
2026-02-05T15:42:59+00:00,192.168.56.21,
2026-02-05T15:43:33+00:00,192.168.56.20,
2026-02-05T15:43:33+00:00,192.168.56.21,
2026-02-05T15:44:07+00:00,192.168.56.20,
2026-02-05T15:44:07+00:00,192.168.56.21,
2026-02-05T15:44:42+00:00,192.168.56.20,
2026-02-05T15:44:42+00:00,192.168.56.21,
2026-02-05T15:45:18+00:00,192.168.56.20,
2026-02-05T15:45:18+00:00,192.168.56.21,
2026-02-05T15:45:53+00:00,192.168.56.20,
2026-02-05T15:45:53+00:00,192.168.56.21,
2026-02-05T15:46:28+00:00,192.168.56.20,
2026-02-05T15:46:28+00:00,192.168.56.21,
2026-02-05T15:47:02+00:00,192.168.56.20,
2026-02-05T15:47:02+00:00,192.168.56.21,
2026-02-05T15:47:37+00:00,192.168.56.20,
2026-02-05T15:47:37+00:00,192.168.56.21,
2026-02-05T15:48:11+00:00,192.168.56.20,
2026-02-05T15:48:11+00:00,192.168.56.21,
2026-02-05T15:48:45+00:00,192.168.56.20,
2026-02-05T15:48:45+00:00,192.168.56.21,
2026-02-05T15:49:20+00:00,192.168.56.20,
2026-02-05T15:49:20+00:00,192.168.56.21,
2026-02-05T15:49:54+00:00,192.168.56.20,
2026-02-05T15:49:54+00:00,192.168.56.21,
2026-02-05T15:50:29+00:00,192.168.56.20,
2026-02-05T15:50:29+00:00,192.168.56.21,
2026-02-05T15:51:04+00:00,192.168.56.20,
2026-02-05T15:51:04+00:00,192.168.56.21,
2026-02-05T15:51:39+00:00,192.168.56.20,
2026-02-05T15:51:39+00:00,192.168.56.21,
2026-02-05T15:52:13+00:00,192.168.56.20,
2026-02-05T15:52:13+00:00,192.168.56.21,
2026-02-05T15:52:47+00:00,192.168.56.20,
2026-02-05T15:52:47+00:00,192.168.56.21,
2026-02-05T15:53:22+00:00,192.168.56.20,
2026-02-05T15:53:22+00:00,192.168.56.21,
2026-02-05T15:53:57+00:00,192.168.56.20,
2026-02-05T15:53:57+00:00,192.168.56.21,
